カード名,仕様,R,型番,タイプ,21-01-25,21-01-26,21-01-27
クロバットVMAX,,SSR,320/190,悪,300,300,300
オーロンゲV,,SSR,321/190,悪,150,150,150
オーロンゲVMAX,,SSR,322/190,悪,250,250,250
メタモンV,,SSR,323/190,無,800,800,800
メタモンVMAX,,SSR,324/190,無,500,600,600
バイウールーV,,SSR,325/190,無,150,150,200
ウッウV,,SSR,326/190,無,300,300,300
ハッサムGX,,SSR,233/150,鋼,"1,000","1,000","1,000"
レシラムGX,,SSR,211/150,炎,"1,500","1,500","1,500"
フリーザーGX,,SSR,214/150,水,"3,800","3,800","3,800"
ゲッコウガGX,,SSR,216/150,水,"3,000","3,000","3,000"
マルマインGX,,SSR,217/150,雷,"1,100","1,100","1,100"
アーゴヨンGX,,SSR,223/150,超,250,250,250
ウツロイドGX,,SSR,222/150,超,700,700,700
ジュペッタGX,,SSR,221/150,超,700,700,700
ルガルガンGX,,SSR,227/150,闘,500,500,500
ルカリオGX,,SSR,224/150,闘,"1,800","1,800","1,800"
ジガルデGX,,SSR,225/150,闘,500,500,500
ツンデツンデGX,,SSR,236/150,鋼,500,500,500
チルタリスGX,,SSR,239/150,竜,800,800,800
レックウザGX,,SSR,240/150,竜,"6,500","6,500","6,500"
リーフィアGX,,SSR,206/150,草,"2,500","2,500","2,500"
グレイシアGX,,SSR,215/150,水,"1,800","1,800","1,800"
ブラッキーGX,,SSR,229/150,悪,"7,500","7,500","7,500"
グソクムシャGX,,SSR,208/150,草,200,200,200
ジュナイパーGX,,SSR,207/150,草,400,400,400
リザードンGX,,SSR,209/150,炎,"40,000","40,000","45,000"
バクガメスGX,,SSR,212/150,炎,400,400,400
ホウオウGX,,SSR,210/150,炎,"3,300","3,300","3,300"
アローラキュウコンGX,,SSR,213/150,水,600,600,600
デンジュモクGX,,SSR,218/150,雷,400,400,400
ミュウツーGX,,SSR,219/150,超,"3,500","3,500","3,500"
ルガルガンGX,,SSR,226/150,闘,800,800,800
マッシブーンGX,,SSR,228/150,闘,200,200,200
ゾロアークGX,,SSR,231/150,悪,"2,200","2,200","2,400"
ダークライGX,,SSR,230/150,悪,"2,500","2,500","2,500"
アクジキングGX,,SSR,232/150,悪,500,500,500
メタグロスGX,,SSR,234/150,鋼,600,600,700
カミツルギGX,,SSR,235/150,鋼,200,200,200
サーナイトGX,,SSR,237/150,妖,"2,400","2,700","2,700"
オンバーンGX,,SSR,241/150,竜,300,300,300
エーフィGX,,SSR,220/150,超,"4,500","4,500","4,500"
ニンフィアGX,,SSR,238/150,妖,"4,000","4,500","4,500"
ジジーロンGX,,SSR,243/150,無,300,300,300
シルヴァディGX,,SSR,242/150,無,700,700,700
フクスロー,,S,201/190,草,100,100,100
モクロー,,S,200/190,草,300,300,300
ジュナイパー,,S,202/190,草,300,300,300
サルノリ,,S,203/190,草,100,100,100
バチンキー,,S,204/190,草,50,50,50
ゴリランダー,,S,205/190,草,350,400,400
サッチムシ,,S,206/190,草,50,50,50
レドームシ,,S,207/190,草,50,50,50
イオルブ,,S,208/190,草,50,50,50
ヒメンカ,,S,209/190,草,50,50,50
ワタシラガ,,S,210/190,草,50,50,50
カジッチュ,,S,211/190,草,250,250,250
アップリュー,,S,212/190,草,50,50,50
タルップル,,S,213/190,草,50,50,50
ヒバニー,,S,214/190,炎,350,350,350
ラビフット,,S,215/190,炎,50,50,50
エースバーン,,S,216/190,炎,200,200,200
ヤクデ,,S,217/190,炎,50,50,50
マルヤクデ,,S,218/190,炎,50,50,50
ガラルバリヤード,,S,219/190,水,50,50,50
ガラルバリコオル,,S,220/190,水,150,150,150
スイクン,,S,221/190,水,"1,700","1,700","1,700"
ガラルダルマッカ,,S,222/190,水,50,50,50
ガラルヒヒダルマ,,S,223/190,水,50,50,50
メッソン,,S,224/190,水,300,300,300
ジメレオン,,S,225/190,水,50,50,50
インテレオン,,S,226/190,水,350,350,400
カムカメ,,S,227/190,水,50,50,50
カジリガメ,,S,228/190,水,50,50,50
ウッウ,,S,229/190,水,100,100,100
サシカマス,,S,230/190,水,50,50,50
カマスジョー,,S,231/190,水,50,50,50
ユキハミ,,S,232/190,水,250,250,250
モスノウ,,S,233/190,水,600,600,600
コオリッポ,,S,234/190,水,150,150,150
ウオノラゴン,,S,235/190,水,50,50,50
ウオチルドン,,S,236/190,水,50,50,50
ロトム,,S,237/190,雷,350,400,400
ワンパチ,,S,238/190,雷,300,300,400
パルスワン,,S,239/190,雷,50,50,50
エレズン,,S,240/190,雷,100,100,100
ストリンダー,,S,241/190,雷,50,50,50
バチンウニ,,S,242/190,雷,50,50,50
モルペコ,,S,243/190,雷,300,300,300
パッチラゴン,,S,244/190,雷,100,100,100
パッチルドン,,S,245/190,雷,50,50,50
ガラルポニータ,,S,246/190,超,250,250,250
ガラルギャロップ,,S,247/190,超,100,100,100
ガラルサニーゴ,,S,248/190,超,50,50,50
ガラルサニゴーン,,S,249/190,超,50,50,50
デデンネ,,S,250/190,超,450,500,500
ヤバチャ,,S,251/190,超,100,100,100
ポットデス,,S,252/190,超,350,350,400
ミブリム,,S,253/190,超,50,50,50
テブリム,,S,254/190,超,100,100,100
ブリムオン,,S,255/190,超,50,50,50
マホミル,,S,256/190,超,50,50,50
マホイップ,,S,257/190,超,250,250,250
イエッサン,,S,258/190,超,50,50,50
ドラメシヤ,,S,259/190,超,150,150,150
ドロンチ,,S,260/190,超,50,50,50
ドラパルト,,S,261/190,超,300,300,300
ガラルカモネギ,,S,262/190,闘,50,50,50
ガラルネギガナイト,,S,263/190,闘,50,50,50
ガラルデスマス,,S,264/190,闘,50,50,50
ガラルデスバーン,,S,265/190,闘,50,50,50
タンドン,,S,266/190,闘,50,50,50
トロッゴン,,S,267/190,闘,50,50,50
セキタンザン,,S,268/190,闘,50,50,50
スナヘビ,,S,269/190,闘,50,50,50
サダイジャ,,S,270/190,闘,50,50,50
タタッコ,,S,271/190,闘,50,50,50
オトスパス,,S,272/190,闘,50,50,50
タイレーツ,,S,273/190,闘,200,200,200
イシヘンジン,,S,274/190,闘,50,50,50
ドガース,,S,275/190,悪,100,100,100
ガラルマタドガス,,S,276/190,悪,600,600,600
ガラルジグザグマ,,S,277/190,悪,350,350,350
ガラルマッスグマ,,S,278/190,悪,50,50,50
ガラルタチフサグマ,,S,279/190,悪,150,150,150
クスネ,,S,280/190,悪,50,50,50
フォクスライ,,S,281/190,悪,50,50,50
ベロバー,,S,282/190,悪,50,50,50
ギモー,,S,283/190,悪,50,50,50
オーロンゲ,,S,284/190,悪,50,50,50
ガラルニャース,,S,285/190,鋼,50,50,50
ガラルニャイキング,,S,286/190,鋼,200,200,200
ガラルマッギョ,,S,287/190,鋼,50,50,50
アーマーガア,,S,288/190,鋼,50,50,50
ゾウドウ,,S,289/190,鋼,50,50,50
ダイオウドウ,,S,290/190,鋼,50,50,50
ジュラルドン,,S,291/190,鋼,50,50,50
チラーミィ,,S,292/190,無,150,150,150
チラチーノ,,S,293/190,無,250,250,250
コアルヒー,,S,294/190,無,50,50,50
スワンナ,,S,295/190,無,50,50,50
ホルビー,,S,296/190,無,250,250,250
ヤレユータン,,S,297/190,無,600,600,600
ホシガリス,,S,298/190,無,100,100,100
ヨクバリス,,S,299/190,無,100,100,100
ココガラ,,S,300/190,無,50,50,50
アオガラス,,S,301/190,無,50,50,50
ウールー,,S,302/190,無,300,300,300
バイウールー,,S,303/190,無,50,50,50
モクロー,,S,162/150,草,400,400,400
フェローチェ,,S,165/150,草,150,150,150
コソクムシ,,S,164/150,草,10,10,10
フクスロー,,S,163/150,草,10,10,10
ストライク,,S,161/150,草,150,150,150
ヒトカゲ,,S,166/150,炎,"1,000","1,000","1,000"
リザード,,S,167/150,炎,800,800,800
アローラロコン,,S,168/150,水,800,800,800
ヌオー,,S,170/150,水,150,150,150
ウパー,,S,169/150,水,250,250,250
ケロマツ,,S,171/150,水,150,150,150
ゲコガシラ,,S,172/150,水,200,200,200
コイル,,S,187/150,鋼,100,100,100
レアコイル,,S,188/150,鋼,100,100,100
ジバコイル,,S,189/150,鋼,50,50,50
デンジュモク,,S,174/150,雷,100,100,100
ビリリダマ,,S,173/150,雷,300,300,350
カゲボウズ,,S,176/150,超,30,30,30
マーイーカ,,S,177/150,超,150,150,150
カラマネロ,,S,178/150,超,200,200,200
ベベノム,,S,179/150,超,150,150,150
ハブネーク,,S,175/150,超,200,200,200
イワンコ,,S,183/150,闘,200,200,200
マッシブーン,,S,184/150,闘,30,30,30
リオル,,S,181/150,闘,150,150,150
ルカリオ,,S,182/150,闘,100,100,100
ウソッキー,,S,180/150,闘,100,150,150
ゾロア,,S,185/150,悪,100,100,100
アクジキング,,S,186/150,悪,250,250,250
カミツルギ,,S,193/150,鋼,100,100,100
テッカグヤ,,S,192/150,鋼,30,30,30
ダンバル,,S,190/150,鋼,200,200,200
メタング,,S,191/150,鋼,150,150,150
ラルトス,,S,194/150,妖,250,250,250
キルリア,,S,195/150,妖,200,200,200
ディアンシー,,S,196/150,妖,10,10,10
フカマル,,S,198/150,竜,150,150,150
ガバイト,,S,199/150,竜,200,200,200
ガブリアス,,S,200/150,竜,100,100,100
チルタリス,,S,197/150,竜,100,100,100
チルット,,S,202/150,無,200,200,200
ヤレユータン,,S,204/150,無,150,150,150
タイプ:ヌル,,S,205/150,無,400,400,400
イーブイ,,S,201/150,無,"1,700","1,700","1,700"
オンバット,,S,203/150,無,30,30,30
ひかるセレビィ,,H,004/072,草,"1,500","1,500","1,500"
ひかるボルケニオン,,H,028/072,水,600,600,600
ひかるミュウ,,H,041/072,超,"4,500","4,500","4,500"
ひかるジラーチ,,H,043/072,超,"1,500","1,500","1,500"
ひかるゲノセクト,,H,010/072,草,600,600,600
ひかるレックウザ,,H,057/072,竜,"2,000","2,000","2,000"
ひかるルギア,,H,058/072,無,"2,500","2,500","2,500"
ひかるホウオウ,,P,083/SM-P,炎,"7,000","7,000","7,000"
ひかるアルセウス,,H,059/072,無,"1,500","1,500","1,500"
モクロー,ムンク,P,290/SM-P,草,"4,500","4,500","4,500"
モクロー,ムンク/未開封,P,290/SM-P,草,"9,000","9,000","9,000"
コダック,ムンク,P,286/SM-P,水,"7,000","7,000","7,000"
コダック,ムンク/未開封,P,286/SM-P,水,"11,000","11,000","11,000"
ミミッキュ,ムンク,P,289/SM-P,超,"75,000","75,000","75,000"
イーブイ,ムンク,P,287/SM-P,無,"8,000","8,000","8,000"
イーブイ,ムンク/未開封,P,287/SM-P,無,"20,000","20,000","20,000"
ピカチュウ,ムンク,P,288/SM-P,雷,"55,000","55,000","55,000"
セレビィ,,A,009/076,草,"1,000","1,000","1,300"
ライコウ,,A,015/076,雷,"1,500","1,500","1,600"
ザシアン,,A,033/076,超,"1,000","1,000","1,100"
ザマゼンタ,,A,044/076,闘,900,900,"1,000"
ジラーチ,,A,050/076,鋼,"4,500","4,500","4,800"
レックウザ,,A,056/076,無,"1,600","1,600","1,800"
レシラム,,A,021/190,炎,150,150,200
カイオーガ,,A,036/190,水,200,200,250
イベルタル,,A,117/190,悪,150,150,200
デデンネ,ミラー,-,075/190,超,10,10,10
ポットデス,ミラー,-,077/190,超,10,10,10
フシギバナV,,-,001/127,草,50,50,50
フシギバナV,RR仕様,-,001/021,草,10,10,10
フシギバナVMAX,RRR仕様,-,002/021,草,150,150,150
ザルードV,,P,108/S-P,草,"20,000","20,000","20,000"
ザルードV,当選通知書付き,P,108/S-P,草,"25,000","25,000","25,000"
ザルードV,,RR,013/076,草,150,150,150
ザルードV,,SR,077/076,草,500,500,500
イオルブV,,P,110/S-P,草,30,30,30
イオルブV,,RR,008/100,草,30,30,30
イオルブV,,SR,101/100,草,200,200,200
イオルブVMAX,,RRR,009/100,草,50,50,50
イオルブVMAX,,HR,112/100,草,400,400,400
ゲノセクト,,P,148/S-P,草,10,10,10
ゲノセクト,未開封,P,148/S-P,草,600,600,600
トランセル,,C,002/070,草,10,10,10
バタフリーV,,RR,001/070,草,30,30,30
バタフリーV,,SR,071/070,草,300,300,300
バタフリーVMAX,,RRR,002/070,草,50,50,50
バタフリーVMAX,,HR,079/070,草,600,600,600
セレビィV,,-,001/023,草,100,100,100
サルノリ,,-,006/023,草,50,50,50
サルノリ,R仕様,-,006/023,草,100,100,100
サルノリ,ミラー,-,006/023,草,100,100,100
バチンキー,ミラー,-,007/023,草,10,10,10
ゴリランダー,R仕様,-,008/190,草,30,30,30
ゴリランダー,,R,007/060,草,30,30,30
ゴリランダー,,UR,084/070,草,"2,800","2,800","2,800"
ゴリランダー,ミラー,-,008/023,草,10,10,10
ゴリランダーV,,SR,071/070,草,200,200,250
ゴリランダーVMAX,,HR,079/070,草,800,800,800
モンメン,,-,003/023,草,10,10,10
モンメン,ミラー,-,003/023,草,50,50,50
エルフーン,,-,004/023,草,10,10,10
エルフーン,ミラー,-,004/023,草,350,350,350
ダダリンV,,RR,004/060,草,50,50,50
ダダリンV,,SR,061/060,草,400,400,400
ダダリンVMAX,RRR仕様,-,001/004,草,"3,300","3,300","3,300"
ワタシラガ,,-,009/021,草,30,30,30
ワタシラガV,,RR,016/190,草,30,30,30
ワタシラガV,,RR,010/096,草,30,30,30
ワタシラガV,,SR,097/096,草,300,300,300
フクスロー,,-,002/190,草,10,10,10
フクスロー,,C,007/100,草,10,10,10
フクスロー,,P,070/S-P,草,10,10,10
フクスロー,ミラー,-,002/190,草,10,10,10
ジュナイパー,R仕様,-,003/190,草,10,10,10
ジュナイパー,,R,008/100,草,10,10,10
セレビィ,,-,005/021,草,450,450,450
ロコン,ミラー,-,001/023,炎,30,30,30
キュウコン,ミラー,-,002/023,炎,100,100,100
キュウコンV,,RR,013/096,炎,30,30,30
キュウコンV,,SR,098/096,炎,500,500,500
ファイアローV,,RR,016/100,炎,100,100,100
ファイアローV,,SR,102/100,炎,450,450,450
ヤトウモリ,,C,008/060,炎,10,10,10
ビクティニV,,-,003/023,炎,900,900,900
コータスV,,RR,006/060,炎,10,10,10
コータスV,,SR,061/060,炎,150,150,150
ヒバニー,,P,130/S-P,炎,200,200,200
エースバーンV,,RR,016/070,炎,150,150,150
エースバーンV,,SR,072/070,炎,700,700,700
エースバーンVMAX,,RRR,017/070,炎,150,150,150
エースバーンVMAX,RRR仕様,-,002/004,炎,300,300,300
エースバーンVMAX,,HR,080/070,炎,800,800,800
マルヤクデV,,RR,027/190,炎,10,10,10
マルヤクデV,,RR,016/070,炎,10,10,10
マルヤクデV,,SR,072/070,炎,300,300,300
マルヤクデVMAX,,RRR,028/190,炎,10,10,10
マルヤクデVMAX,,RRR,017/070,炎,10,10,10
マルヤクデVMAX,,HR,080/070,炎,700,700,700
ヒトカゲ,,P,112/S-P,炎,50,50,50
リザードン,,R,012/100,炎,200,200,200
リザードン,,P,143/S-P,炎,900,900,"1,100"
リザードンV,RR仕様 sC,-,001/021,炎,150,150,150
リザードンV,RR仕様 SC2,-,001/021,炎,150,150,150
リザードンVMAX,RRR仕様 sC,-,002/021,炎,"2,300","2,300","2,400"
リザードンVMAX,RRR仕様 SC2,-,002/021,炎,"2,300","2,300","2,400"
ブースター,,P,038/S-P,炎,140,150,150
ヒードラン,,P,149/S-P,炎,10,10,10
ヘルガーV,,RR,009/100,炎,30,30,30
ヘルガーV,,SR,101/100,炎,200,200,200
バシャーモ,,R,012/100,炎,10,10,10
ガオガエンV,,-,015/127,炎,10,10,10
カメックスV,RR仕様,-,001/020,水,10,10,10
カメックスVMAX,RRR仕様,-,002/020,水,150,150,150
クラブ,ミラー,-,003/023,水,10,10,10
ラプラス,ミラー,-,005/023,水,200,200,200
ラプラス,,-,005/023,水,100,100,100
ラプラスV,,SR,062/060,水,250,250,250
ラプラスVMAX,,HR,069/060,水,700,700,700
ケルディオV,,-,006/023,水,50,50,50
メッソン,ミラー,-,007/023,水,150,150,150
メッソン,,P,129/S-P,水,300,300,300
メッソン,,P,131/S-P,水,150,150,150
メッソン,R仕様,-,007/023,水,100,100,100
メッソン,,-,007/023,水,100,100,100
メッソン,,P,008/S-P,水,700,700,700
メッソン,,P,146/S-P,水,"1,500","1,500","1,500"
ジメレオン,ミラー,-,040/190,水,10,10,10
インテレオン,ミラー,-,009/023,水,50,50,50
インテレオン,R仕様,-,009/023,水,10,10,10
インテレオン,,-,009/023,水,10,10,10
インテレオンV,,RR,022/070,水,600,600,600
インテレオンV,,SR,073/070,水,"1,200","1,200","1,100"
インテレオンVMAX,,RRR,023/070,水,800,800,700
インテレオンVMAX,,HR,081/070,水,"1,400","1,400","1,200"
パルシェン,ミラー,-,002/023,水,10,10,10
ウッウ,,-,044/190,水,10,10,10
ウッウ,ミラー,-,044/190,水,10,10,10
ウッウ,ミラー,-,010/023,水,50,50,50
カジリガメV,,RR,026/100,水,10,10,10
カジリガメV,,SR,102/100,水,200,200,200
カジリガメVMAX,,RRR,027/100,水,30,30,30
カジリガメVMAX,,HR,111/100,水,400,400,400
ユキハミ,,-,047/190,水,30,30,30
ユキハミ,ミラー,-,047/190,水,30,30,30
モスノウ,,UR,084/070,水,"3,700","3,700","3,700"
モスノウ,R仕様,-,048/190,水,30,30,30
モスノウ,,R,016/060,水,30,30,30
ミロカロスV,,RR,022/096,水,10,10,10
ミロカロスV,,SR,099/096,水,300,300,300
ガラルヒヒダルマV,,RR,023/100,水,30,30,30
ガラルヒヒダルマV,,SR,103/100,水,200,200,200
ガラルヒヒダルマVMAX,,RRR,024/100,水,50,50,50
ガラルヒヒダルマVMAX,,HR,113/100,水,600,600,600
コオリッポV,,P,020/S-P,水,50,50,50
ミロカロス,,P,145/S-P,水,"1,500","1,500","1,500"
スイクン,,P,150/S-P,水,30,30,30
ホエルオーV,,-,024/127,水,50,50,50
シャワーズ,,P,071/S-P,水,100,100,100
マナフィ,,-,006/020,水,600,600,600
ピカチュウV,,-,028/127,雷,150,150,150
ピカチュウV,,RR,030/100,雷,100,100,100
ピカチュウV,,SR,104/100,雷,"3,100","3,300","3,300"
ピカチュウV,RR仕様,P,121/S-P,雷,600,600,600
ピカチュウV,RR仕様未開封,P,121/S-P,雷,800,900,900
ピカチュウV,RR仕様,P,122/S-P,雷,800,800,800
ピカチュウVMAX,,RRR,031/100,雷,900,900,900
ピカチュウVMAX,,HR,114/100,雷,"18,000","18,000","18,000"
ピカチュウVMAX,RRR仕様,P,123/S-P,雷,"14,000","14,000","16,000"
デンリュウV,,RR,014/076,雷,10,10,10
デンリュウV,,SR,078/076,雷,200,200,200
ライチュウ,ミラー,-,002/024,雷,10,10,10
カプ・コケコV,,-,006/024,雷,"1,100","1,100","1,100"
クワガノンV,,RR,025/070,雷,"1,000","1,000","1,000"
クワガノンV,,SR,073/070,雷,"2,000","2,000","2,000"
パルスワンV,,RR,056/190,雷,10,10,10
パルスワンV,,RR,031/070,雷,10,10,10
パルスワンV,,SR,074/070,雷,400,400,400
モルペコ,,P,032/S-P,雷,"1,800","1,800","1,800"
モルペコ,,P,035/S-P,雷,250,250,250
モルペコ,,P,068/S-P,雷,300,300,300
モルペコ,,P,107/S-P,雷,400,400,400
モルペコ,,P,137/S-P,雷,150,150,150
モルペコV,,RR,019/060,雷,10,10,10
モルペコV,,SR,062/060,雷,300,300,300
モルペコVMAX,,RRR,020/060,雷,30,30,30
モルペコVMAX,RRR仕様,-,003/004,雷,450,450,450
モルペコVMAX,,HR,069/060,雷,600,600,600
バチンウニ,,P,047/S-P,雷,30,30,30
バチンウニV,,P,033/S-P,雷,"6,000","5,500","5,500"
ストリンダーV,,P,048/S-P,雷,30,30,30
ストリンダーV,未開封,P,048/S-P,雷,50,50,50
ストリンダーV,,SR,100/096,雷,100,100,100
ストリンダーVMAX,,HR,107/096,雷,600,600,600
ビリリダマ,,C,032/100,雷,10,10,10
マルマイン,,R,033/100,雷,50,50,100
サンダース,,P,114/S-P,雷,150,150,150
マホイップV,,RR,031/076,超,100,100,100
マホイップV,,SR,079/076,超,600,600,600
マホイップVMAX,,RRR,032/076,超,150,150,150
マホイップVMAX,,HR,086/076,超,700,700,700
ミュウV,,-,038/127,超,100,100,100
ゴース,,-,069/190,超,10,10,10
ゴースト,,U,024/060,超,10,10,10
ゲンガー,R仕様,-,071/190,超,10,10,10
ゲンガー,,R,025/060,超,10,10,10
ソーナンスV,,RR,026/060,超,10,10,10
ソーナンスV,,SR,063/060,超,100,100,100
イエッサンV,,P,059/S-P,超,"30,000","30,000","30,000"
イエッサンV,,SR,063/060,超,100,100,100
サーナイトV,,RR,030/070,超,150,150,150
サーナイトV,,SR,074/070,超,"1,200","1,200","1,300"
サーナイトVMAX,,RRR,031/070,超,200,200,250
サーナイトVMAX,,HR,081/070,超,"2,200","2,200","2,400"
ドラパルトV,,RR,088/190,超,10,10,10
ドラパルトV,,RR,049/096,超,10,10,10
ドラパルトV,,SR,101/096,超,500,500,500
ドラパルトVMAX,,RRR,089/190,超,10,10,10
ドラパルトVMAX,,RRR,050/096,超,10,10,10
ドラパルトVMAX,,HR,108/096,超,600,600,600
ピッピ,,C,039/096,超,10,10,10
ピッピ,,-,065/190,超,10,10,10
ピッピ,ミラー,-,065/190,超,10,10,10
ポットデスV,,P,040/S-P,超,10,10,10
ブリムオンV,,P,111/S-P,超,10,10,10
ガラルサニゴーンV,,RR,043/100,超,30,30,30
ガラルサニゴーンV,,SR,103/100,超,250,250,250
フーディンV,,RR,041/100,超,10,10,10
フーディンV,,SR,105/100,超,350,350,350
エルフーン,,U,050/100,超,10,10,10
セキタンザンV,,RR,042/076,闘,100,100,100
セキタンザンV,,SR,080/076,闘,300,300,300
セキタンザンVMAX,,RRR,043/076,闘,100,100,100
セキタンザンVMAX,,HR,087/076,闘,600,600,600
ルカリオV,,-,050/127,闘,30,30,30
ドサイドンV,,RR,049/100,闘,30,30,30
ドサイドンV,,SR,104/100,闘,100,100,100
イシヘンジンV,,SR,064/060,闘,50,50,50
イシヘンジンVMAX,,RRR,035/060,闘,30,30,30
イシヘンジンVMAX,,HR,070/060,闘,400,400,400
サダイジャV,,RR,046/070,闘,10,10,10
サダイジャV,,SR,075/070,闘,200,200,200
オトスパスV,,RR,045/070,闘,30,30,30
オトスパスV,,SR,075/070,闘,200,200,200
セキタンザン,,UR,117/100,闘,900,900,900
