カード名,R,型番,エキスパンション,21-01-30,21-01-31,21-02-01,21-02-02,21-02-03,21-02-04,21-02-05,21-02-06,21-02-07,21-02-08,21-02-09
イオルブVMAX,HR,112/100,s4,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
イオルブV,P,110/S-P,PROMO,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
イオルブ,S,208/190,s4a,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80,80,80
イシヘンジンV,RR,034/060,S1W,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イシヘンジンVMAX,RRR,035/060,S1W,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イシヘンジンV,SR,064/060,S1W,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
イシヘンジンVMAX,HR,070/060,S1W,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
イシヘンジン,S,274/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
イトマル,P,073/S-P,PROMO,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
イベルタルGX,RR,055/094,SM6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
イベルタルGX,SR,097/094,SM6,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,800,800,800
イベルタルGX,HR,105/094,SM6,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,2000,2000,2000
イベルタルGX,_,075/131,SMH,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
イベルタル,P,343/SM-P,PROMO,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
イベルタル,A,117/190,s4a,50.0,30.0,30.0,30.0,30.0,50.0,50.0,30.0,30,30,50
イワークGX,_,011/031,SMK,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
イワンコ,S,183/150,SM8b,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200,200,200
インテレオンV,RR,022/070,s1a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,500,500
インテレオンVMAX,RRR,023/070,s1a,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450,550,550
インテレオンV,SR,073/070,s1a,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,1000,1000
インテレオンVMAX,HR,081/070,s1a,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,1000,1000
インテレオン,S,226/190,s4a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,450,450
ウールー,P,004/S-P,PROMO,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10
ウールー,S,302/190,s4a,180.0,180.0,180.0,180.0,180.0,150.0,150.0,150.0,150,150,150
ウオチルドン,S,236/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
ウオノラゴン,S,235/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
ウソッキー,S,180/150,SM8b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
ウッウV,RR,051/060,S1W,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
ウッウV,SR,066/060,S1W,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
ウッウVMAX,_,004/004,sp2,1500.0,1500.0,1500.0,1650.0,1650.0,1500.0,1500.0,1500.0,1500,1500,1500
ウッウV,RR,155/190,s4a,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
ウッウ,S,229/190,s4a,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80,80,80
ウッウV,SSR,326/190,s4a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
ウツロイドGX,SR,052/050,SM4A,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
ウツロイドGX,HR,057/050,SM4A,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700,700,700
ウツロイドGX,SSR,222/150,SM8b,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700,700,700
ウパー,S,169/150,SM8b,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200,200,200
海で遊ぶピカチュウ,P,392/SM-P,PROMO,1650.0,1800.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650,1500,1500
ウルガモスGX,SR,096/095,SM12,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
ウルガモスGX,HR,109/095,SM12,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
ウルトラネクロズマGX,RR,069/094,SM6,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
ウルトラネクロズマGX,SR,099/094,SM6,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,650
ウルトラネクロズマGX,HR,107/094,SM6,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500,1500,1500
ウルトラネクロズマ,P,236/SM-P,PROMO,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000,7000,7000
ウルトラネクロズマGX,RR,104/150,SM8b,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
ウルトラネクロズマGX,UR,250/150,SM8b,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000,2000,2000
ウルトラネクロズマGX,RR,101/173,SM12a,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
エースバーンV,RR,016/070,s1a,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
エースバーンVMAX,RRR,017/070,s1a,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
エースバーンV,SR,072/070,s1a,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700,700,700
エースバーンVMAX,HR,080/070,s1a,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,800
エースバーンVMAX,_,002/004,sp2,200.0,150.0,150.0,150.0,150.0,150.0,150.0,200.0,200,200,200
エースバーン,S,216/190,s4a,250.0,250.0,250.0,250.0,250.0,220.0,220.0,200.0,200,200,200
エーフィGX,RR,024/060,SM1S,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200,200,200
エーフィGX,SR,062/060,SM1S,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,4500,4500,4500
エーフィGX,HR,068/060,SM1S,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,9000.0,9000.0,9000,9000,9000
エーフィGX,P,124/SM-P,PROMO,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,12000,12000,12000
エーフィGX,SSR,220/150,SM8b,5000.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500,5000,5000
エーフィ&デオキシスGX,SR,176/173,SM12a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
エーフィ&デオキシスGX,SR,177/173,SM12a,2400.0,2400.0,2400.0,2400.0,2700.0,2700.0,3000.0,3000.0,3000,3000,4000
エーフィ&デオキシスGX,HR,212/173,SM12a,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700,700,700
エルフーンGX,SR,103/095,SM10,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
エルフーンGX,HR,112/095,SM10,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
エルフーン,_,004/023,SA草,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
エルレイド,CHR,057/049,SM11b,30.0,30.0,30.0,30.0,30.0,30.0,50.0,50.0,100,100,80
エレズン,S,240/190,s4a,120.0,120.0,120.0,120.0,120.0,100.0,100.0,100.0,100,100,100
エンテイGX,SR,073/072,SM3+,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900,900,900
エンテイGX,HR,078/072,SM3+,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,4000.0,4000.0,4000,4000,4000
エンニュートGX,SR,051/049,SM2+,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
エンニュートGX,HR,059/049,SM2+,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,800
オーロット&ヨノワールGX,RR,053/173,SM12a,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
オーロット&ヨノワールGX,SR,178/173,SM12a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オーロット&ヨノワールGX,SR,179/173,SM12a,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100,1100,1100
オーロット&ヨノワールGX,HR,213/173,SM12a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オーロンゲV,_,006/020,SC悪,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
オーロンゲVMAX,_,007/020,SC悪,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
オーロンゲ,S,284/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
オーロンゲV,SSR,321/190,s4a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オーロンゲVMAX,SSR,322/190,s4a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
お公家さまと舞妓はんピカチュウ,プロモーション,221/XY-P,_,4000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000,5000,5000
お茶会ごっこピカチュウ,P,325/SM-P,PROMO,4500.0,4500.0,4000.0,4000.0,4000.0,3000.0,3000.0,3000.0,3000,2500,2500
オトスパスV,RR,045/070,s2a,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
オトスパスV,SR,075/070,s2a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オトスパス,S,272/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
オドリドリGX,RR,035/095,SM12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
オドリドリGX,SR,097/095,SM12,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オドリドリGX,HR,110/095,SM12,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オンバーンGX,RR,040/051,SM3H,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
オンバーンGX,SR,055/051,SM3H,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オンバーンGX,HR,061/051,SM3H,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
オンバーンGX,SSR,241/150,SM8b,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
オンバット,S,203/150,SM8b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
カイオーガ,A,036/190,s4a,80.0,100.0,100.0,100.0,100.0,150.0,150.0,100.0,100,50,50
カイリキーGX,SR,053/049,SM2+,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600,600,600
カイリキーGX,HR,061/049,SM2+,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200,1200,1200
カイリューGX,RR,028/053,SM6a,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150,150,150
カイリューGX,SR,056/053,SM6a,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700,700,700
カイリューGX,HR,062/053,SM6a,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800,1800,1800
カイリューGX,RR,069/094,SM11,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
カイリューGX,SR,103/094,SM11,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
カイリューGX,HR,112/094,SM11,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200,1200,1200
ガオガエンGX,SR,053/051,SM1+,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
ガオガエンGX,HR,060/051,SM1+,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,1000,1000
ガオガエンGX,SR,055/052,SM8a,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
ガオガエンGX,HR,061/052,SM8a,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300,300,300
ガオガエンV,_,015/127,SD,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50,50,50
カゲボウズ,S,176/150,SM8b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
カジッチュ,S,211/190,s4a,150.0,150.0,150.0,150.0,150.0,120.0,120.0,120.0,120,120,120
カジリガメV,RR,026/100,s3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
カジリガメVMAX,RRR,027/100,s3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
カジリガメV,SR,102/100,s3,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
カジリガメVMAX,HR,111/100,s3,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
カジリガメ,S,228/190,s4a,80.0,80.0,80.0,80.0,80.0,50.0,50.0,50.0,50,50,50
カナザワのピカチュウ,P,144/S-P,PROMO,4500.0,3850.0,3600.0,3500.0,3500.0,3000.0,3000.0,3000.0,3500,3500,3500
カナザワのピカチュウ,P,147/S-P,PROMO,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000,15000,15000
ガバイト,S,199/150,SM8b,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100
カビゴンＶ,RR,045/060,S1H,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
カビゴンＶMAX,RRR,046/060,S1H,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
カビゴンＶ,SR,066/060,S1H,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
カビゴンＶMAX,HR,070/060,S1H,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400,400,400
カビゴン,R,084/100,s4,350.0,350.0,350.0,350.0,350.0,350.0,300.0,300.0,300,300,300
カプ・レヒレ,U,020/054,SM10b,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
カプ・レヒレ,_,040/173,SM12a,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
カプ・レヒレ,M,040/173,SM12a,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5
カプ・コケコGX,RR,022/050,SM2K,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
カプ・コケコGX,SR,053/050,SM2K,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,800
カプ・コケコGX,HR,058/050,SM2K,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250,2250,2250
カプ・コケコGX,P,048/SM-P,PROMO,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800,800
カプ・コケコGX,RR,032/114,SM4+,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30,30,30
